snr_ratio,round,question,original_answer,prompt_knowledge_parent_ids,top_parent_id,AutoCorrect,AutoSupport,ManualSupport,AnswerCorrect,FinalCorrect,EvidenceParentID,EvidenceQuote,CorrectionReason,NeedHumanReview,OriginalRollingAccuracy,CorrectedRollingAccuracy
1:5,11,比较顺序表和单链表的适用场景,顺序表采用数组存储，支持随机存取，适合查找频繁、数据规模稳定、插入删除主要发生在表尾的场景。单链表通过指针链接，插入和删除只需修改指针，适合数据规模动态变化、插入删除操作频繁（尤其是已知位置时）的场景，但查找需遍历，且存储密度较低。,"['07c52459', '22763916', 'd27a4a82', '85402e8a', '52fea983']",07c52459,1,是,是,是,1,22763916,但在已知插入/删除位置前驱结点时，只需修改指针，时间为O(1)。单链表适合数据规模变化大、插入删除频繁的场景，但每个结点需要额外指针域，存储密度低于顺序表。问：说明栈和队列的逻辑特征，并各举一个典型应用。答：栈是只允许在一端进行插入和删除的线性表，特点是后进先出（LIFO）。典型应用包括括号匹配、函数调用栈、表达式求值、深度优先搜索。典型应用包括括号匹配、函...,原始CSV已判定为有效支撑；人工复核保留该判定。,否,0.6364,1.0
1:5,12,栈和队列的逻辑特征分别是什么？各举一个应用。,栈的逻辑特征是后进先出（LIFO），即只允许在一端进行插入和删除。典型应用：浏览器后退功能，按访问顺序压栈，后退时弹出最近访问的页面。队列的逻辑特征是先进先出（FIFO），即只允许在一端插入、另一端删除。典型应用：打印机任务队列，先提交的打印任务先被执行。,"['22763916', '07c52459', '9d61e736', '52fea983', '06cbb859']",22763916,1,是,是,是,1,22763916,、插入删除频繁的场景，但每个结点需要额外指针域，存储密度低于顺序表。问：说明栈和队列的逻辑特征，并各举一个典型应用。答：栈是只允许在一端进行插入和删除的线性表，特点是后进先出（LIFO）。典型应用包括括号匹配、函数调用栈、表达式求值、深度优先搜索。典型应用包括括号匹配、函...,原始CSV已判定为有效支撑；人工复核保留该判定。,否,0.6667,1.0
1:5,13,简述二叉排序树的查找过程。,二叉排序树的查找过程为：从根结点开始，若给定关键字等于当前结点关键字，则查找成功；若小于当前结点关键字，则进入左子树继续查找；若大于，则进入右子树继续查找。重复此过程，直到找到目标结点或遇到空指针，说明查找失败。,"['22763916', 'b700e16c', '52ee2425', '52fea983', '268d8ea7']",22763916,0,否,是,是,1,52ee2425,答：查找成功时ASL约为(n+1)/2，查找失败时ASL为n。顺序查找对表的结构没有要求，但效率较低。问26：二分查找的平均查找长度（ASL）大约是多少？答：二分查找查找成功时的ASL约为log2(n+1)-1。二分查找的效率远高于顺序查找，但要求表顺序存储且有序。问27：什么是平衡二叉树？答：平衡二叉树是一种二叉排序树，,原始CSV自动判定为0，但人工复核发现进入Prompt的父块 52ee2425 含有可支撑回答的内容；模型回答与该证据语义一致。,否,0.6154,1.0
1:5,14,图的邻接矩阵和邻接表分别适合什么情况？,邻接矩阵用二维数组表示顶点间的关系，适合稠密图（边数接近顶点数平方），判断任意两点是否有边的时间复杂度为O(1)，但空间复杂度为O(n^2)；邻接表由顶点表和边链表组成，适合稀疏图（边数远小于顶点数平方），存储空间更省，但判断两点是否有边需要遍历对应链表，时间复杂度较高（O(度)）。,"['3f210429', '22763916', '64995d10', 'c4b0c72a', '52fea983']",3f210429,1,是,是,是,1,3f210429,均查找效率与树高有关，理想情况下为O(log n)，最坏退化为O(n)。问：图的邻接矩阵和邻接表分别适合什么情况？答：邻接矩阵用二维数组表示顶点之间是否有边，适合稠密图，判断任意两点之间是否有边的时间为O(1)，但空间复杂度为O(n^2)。答：邻接矩阵用二维数组表...,原始CSV已判定为有效支撑；人工复核保留该判定。,否,0.6429,1.0
1:5,15,已知二叉树先序为A B D E C F，中序为D B E A F C，后序遍历是什么？,根据先序序列首元素A为根，在中序序列中A左侧的D B E构成左子树，右侧的F C构成右子树。左子树先序B D E、中序D B E，可知B为左子树根，D为B的左孩子，E为B的右孩子；右子树先序C F、中序F C，可知C为右子树根，F为C的左孩子。后序遍历序列为：D E B F C A。,"['bbe250dc', 'b0cf2611', '3f210429', '1ecad386', 'b700e16c']",bbe250dc,0,否,是,是,1,1ecad386,请画出该二叉树，并写出后序遍历序列。答：先序首元素A为根；中序序列中A左侧为D B E，右侧为F C。左子树先序为B D E，中序为D B E，所以左子树根为B，B的左孩子为D，右孩子为E。右子树先序为C F，中序为F C，所以右子树根为C，C的左孩子为F。该树结构为：A的左孩子B、右孩子C；B的左右孩子分别为D、E；C的左孩,原始CSV自动判定为0，但人工复核发现进入Prompt的父块 1ecad386 含有可支撑回答的内容；模型回答与该证据语义一致。,否,0.6,1.0
1:5,16,无向连通带权图边为AB=2，AC=3，BC=1，BD=4，CD=5，CE=6，DE=2，用Kruskal算法求最小生成树和总权值。,"好的，导师。我们使用Kruskal算法求该无向连通带权图的最小生成树，顶点集为{A, B, C, D, E}，共5个顶点，因此最小生成树应有4条边。

第一步，将所有边按权值从小到大排序：
1. BC (1)
2. AB (2)
3. DE (2)
4. AC (3)
5. BD (4)
6. CD (5)
7. CE (6)

第二步，从最小边开始逐条选取，并利用并查集检查是否形成回路：
- 选BC(1)：连通B、C，不构成回路，加入。
- 选AB(2)：连通A、B（此时A、B、C在同一连通分量），加入。
- 选DE(2)：连通D、E（新分量），加入。
- 选AC(3)：A和C已在同一分量，跳过。
- 选BD(4)：B在分量{A,B,C}，D在分量{D,E}，不同分量，加入，此时已选中4条边。

此时所有顶点连通，最小生成树边集为{BC, AB, DE, BD}，总权值 = 1 + 2 + 2 + 4 = 9。

Kruskal算法结束，最小生成树总权值为9。","['1ecad386', '0a943b8b', '52fea983', 'd15852c3', 'c4b0c72a']",1ecad386,1,是,是,是,1,0a943b8b,"AC会与A-B-C构成回路，跳过；选BD将两个连通分量连接。最小生成树边集为{BC, AB, DE, BD}，总权值为1+2+2+4=9。问：有向图从源点S出发，边权如下：S→A=2，S→B=5，A→B=1，A→C=4，B→C=1，B→D=7，C→D=3。请用Dijkstra算法求S到各点的最短距离。答：初始化：d(S",原始CSV已判定为有效支撑；人工复核保留该判定。,否,0.625,1.0
1:5,17,有向图边权为S→A=2，S→B=5，A→B=1，A→C=4，B→C=1，B→D=7，C→D=3，用Dijkstra求S到各点最短距离。,"好的，导师。我们使用Dijkstra算法计算有向图从S出发到各点的最短距离。所有边权非负，算法适用。

**初始化**：设d[S]=0，d[A]=2，d[B]=5，d[C]=∞，d[D]=∞。所有顶点未标记。

**第1轮**：选当前距离最小的未标记顶点S（d=0），标记S。更新邻接点：  
- S→A：d[A] = min(2, 0+2) = 2  
- S→B：d[B] = min(5, 0+5) = 5  
此时d：S=0，A=2，B=5，C=∞，D=∞。

**第2轮**：未标记顶点中最小为A（d=2），标记A。更新：  
- A→B：d[B] = min(5, 2+1)=3  
- A→C：d[C] = min(∞, 2+4)=6  
此时d：A=2，B=3，C=6，D=∞。

**第3轮**：未标记中最小为B（d=3），标记B。更新：  
- B→C：d[C] = min(6, 3+1)=4  
- B→D：d[D] = min(∞, 3+7)=10  
此时d：B=3，C=4，D=10。

**第4轮**：未标记中最小为C（d=4），标记C。更新：  
- C→D：d[D] = min(10, 4+3)=7  
此时d：C=4，D=7。

**第5轮**：未标记只剩D（d=7），标记D，无更新。

**最终结果**：  
S→S：0  
S→A：2  
S→B：3  
S→C：4  
S→D：7  

最短路径分别对应：S→A，S→A→B，S→A→B→C，S→A→B→C→D。","['0a943b8b', '1ecad386', '40e1c76b', '7c3cefd2', '4199444b']",0a943b8b,0,否,是,是,1,0a943b8b,2，S→B=5，A→B=1，A→C=4，B→C=1，B→D=7，C→D=3。请用Dijkstra算法求S到各点的最短距离。答：初始化：d(S)=0，d(A)=2，d(B)=5，d(...,原始CSV自动判定为0，但人工复核发现进入Prompt的父块 0a943b8b 含有可支撑回答的内容；模型回答与该证据语义一致。,否,0.5882,1.0
1:5,18,"对序列49,38,65,97,76,13,27进行一趟快速排序，以49为枢轴，划分结果是什么？","导师，一趟快速排序以49为枢轴（采用常见的双向扫描划分）后，结果序列为：27, 38, 13, **49**, 76, 97, 65。枢轴49最终位于第4个位置（即索引3，从1计数为第4个），其左侧元素均小于49，右侧元素均大于49。","['68fa9c76', '0a943b8b', 'e49ed934', '656785d2', 'be127544']",68fa9c76,1,是,是,是,1,68fa9c76,"对应路径分别为S-A，S-A-B，S-A-B-C，S-A-B-C-D。问：对序列49, 38, 65, 97, 76, 13, 27进行一趟快速排序，以第一个元素49为枢轴。请写出一趟划分后的结果，并说明枢轴最终位置。答：以49为枢轴，采用常见双向扫描划分，可得到结果：27, 38, 13, 49, 76, 97, 65。枢轴49最终位于第4个位置；其左侧元...",原始CSV已判定为有效支撑；人工复核保留该判定。,否,0.6111,1.0
1:5,19,"设H(key)=key mod 11，线性探测插入22,41,53,46,30,13，哈希表结果是什么？","导师，哈希表大小为11（地址0~10），采用线性探测法插入后的结果如下（括号内为位置）：

- 22 mod 11 = 0 → 位置0：22  
- 41 mod 11 = 8 → 位置8：41  
- 53 mod 11 = 9 → 位置9：53  
- 46 mod 11 = 2 → 位置2：46  
- 30 mod 11 = 8 → 冲突，探测9（已占），再探测10（空）→ 位置10：30  
- 13 mod 11 = 2 → 冲突，探测3（空）→ 位置3：13  

最终哈希表：

| 地址 | 0 | 1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 10 |
|------|---|---|---|---|---|---|---|---|---|---|---|
| 键   | 22|   |46 |13 |   |   |   |   |41 |53 |30 |","['68fa9c76', '1fbc2070', 'c0237783', '7366f611', 'c4b0c72a']",68fa9c76,1,是,是,是,1,1fbc2070,"一趟后结果：-1, 9, 7, 4, 15, 20, 7, 8。问41：已知一组关键字{19, 14, 23, 1, 68, 20, 84, 27}，哈希函数H(key)=key mod 13，采用链地址法处理冲突，请画出哈希表。答：计算哈希地址：H(19)=6，H(14)=1，H(23)=10，H(1)=1，H(68)=3，H(20)=7，H(84)=6，...",原始CSV已判定为有效支撑；人工复核保留该判定。,否,0.6316,1.0
1:5,20,删除带头结点单链表中值最小的结点，核心思路是什么？,导师，核心思路是：遍历单链表，记录当前最小值结点及其前驱结点，遍历结束后将最小值结点从链表中摘除（通过前驱结点指针跳过该结点），最后释放结点空间。时间复杂度O(n)，空间复杂度O(1)。,"['a4ceb5f8', 'be127544', '9a64b21e', '8288babf', '2ede359d']",a4ceb5f8,0,否,是,是,1,8288babf,用连续存储，可以通过下标直接计算出元素地址，实现随机访问。问3：在一个长度为n的单链表中，在值为x的结点之后插入一个新结点，已知指向x的指...,原始CSV自动判定为0，但人工复核发现进入Prompt的父块 8288babf 含有可支撑回答的内容；模型回答与该证据语义一致。,否,0.6,1.0
1:5,21,如何判断字符串中的小括号、方括号、花括号是否匹配？,"导师，判断括号是否匹配的核心思路是使用栈。

算法步骤：
1. 遍历字符串每个字符。
2. 若遇到左括号（'('、'['、'{'），将其入栈。
3. 若遇到右括号（')'、']'、'}'）：
   - 若栈空，则不匹配（右括号多余）。
   - 否则，弹出栈顶元素，检查是否与当前右括号匹配（即左括号对应右括号）。
4. 遍历结束后，若栈为空则全部匹配，否则有左括号未匹配。

需要注意：非括号字符直接跳过。时间复杂度O(n)，空间复杂度O(n)（最坏情况全是左括号）。

伪代码可表示为：
```
function isBracketMatch(s):
    stack = []
    for ch in s:
        if ch in '([{':
            stack.push(ch)
        else if ch in ')]}':
            if stack.isEmpty(): return false
            top = stack.pop()
            if not isPair(top, ch): return false
    return stack.isEmpty()
```
其中`isPair`函数判断左右括号是否对应，例如 '('与')'等。","['27efd829', 'a4ceb5f8', '36813c45', '945b158b', '22763916']",27efd829,1,是,是,是,1,27efd829,e(minNode)时间复杂度O(n)，空间复杂度O(1)。问：输入一个只包含小括号、方括号、花括号以及其他字符的字符串，设计算法判断括号是否匹配。要求写出核心思路和伪代码...,原始CSV已判定为有效支撑；人工复核保留该判定。,否,0.619,1.0
1:5,22,设二叉树采用二叉链表存储，如何递归求二叉树高度？,"导师，递归求二叉树高度的核心思路是分治法。

算法步骤：
1. 如果二叉树为空（根指针为NULL），高度为0。
2. 否则，递归计算左子树的高度，记为 leftHeight。
3. 递归计算右子树的高度，记为 rightHeight。
4. 当前二叉树的高度为 max(leftHeight, rightHeight) + 1（加1是因为要加上根结点这一层）。

伪代码如下：
```
int GetHeight(BiTree T) {
    if (T == NULL)
        return 0;
    int leftH = GetHeight(T->lchild);
    int rightH = GetHeight(T->rchild);
    return (leftH > rightH ? leftH : rightH) + 1;
}
```
时间复杂度为 O(n)，每个结点被访问一次；空间复杂度取决于递归栈深度，最坏情况（单支树）为 O(n)，平衡二叉树时为 O(log n)。","['1a6f6dcc', 'b700e16c', '339d1dcd', 'af044c79', '9a64b21e']",1a6f6dcc,1,是,是,是,1,339d1dcd,SwapChildren(T.right)时间复杂度O(n)，每个结点访问一次。递归栈空间复杂度与树高有关，最坏O(n)，平衡时O(log n)。问44：设计非递归算法实现二叉树的中序遍历，写出伪代码并分析空间复杂度。答：核心思想：使用栈辅...,原始CSV已判定为有效支撑；人工复核保留该判定。,否,0.6364,1.0
1:5,23,给定非递减有序数组，如何原地删除重复元素并返回去重后长度？,"导师，核心思路是使用快慢指针。

算法步骤：
1. 若数组长度n为0，直接返回0。
2. 初始化慢指针`slow=0`，指向当前去重后最后一个有效元素的下标。
3. 快指针`fast`从1开始遍历整个数组：
   - 若`A[fast]`不等于`A[slow]`，则`slow`前移一位，并将`A[fast]`赋值给`A[slow]`。
   - 否则，继续移动`fast`。
4. 遍历结束后，返回`slow+1`即为去重后的长度。

时间复杂度O(n)，空间复杂度O(1)，满足原地要求。","['9d8f95a2', '1a6f6dcc', '8288babf', '38f864b4', '110445fa']",9d8f95a2,1,是,是,是,1,9d8f95a2,栈空间复杂度与树高有关，最坏O(n)，平衡时O(log n)。问：给定一个非递减有序数组A[0..n-1]，要求原地删除重复元素，返回去重后的长度。要求空间复杂度O(1)。答：核心思想：使用快慢指针。slow指向当前去重后最后一个元素位置，fast扫描数组；当A[fast]与A[slow]不同时，slow后移并复制A...,原始CSV已判定为有效支撑；人工复核保留该判定。,否,0.6522,1.0
1:5,24,什么是算法的时间复杂度？,导师，算法时间复杂度是指算法执行时间随输入规模增长的变化趋势，通常用大O记号表示，只保留最高阶项并忽略常数系数和低阶项。例如，T(n)=3n²+20n+5的时间复杂度为O(n²)。,"['9d8f95a2', '8288babf', '1a6f6dcc', '4f7bb652', '1600a5fe']",9d8f95a2,0,否,是,是,1,8288babf,问1：算法的时间复杂度是指什么？答：时间复杂度是指算法执行时间随问题规模增长的增长趋势，用大O记号表示，关注的是最高阶增长项，忽略常数系数和低阶项。问2：在顺序表中，访问第i个元素的时间复杂度是多少？答：O(1)。顺序表采用连续存储，可以通过下标直接计算出元素地址，实现随机访问。问3：在一个长度为n的单链表中，在值为x的结点,原始CSV自动判定为0，但人工复核发现进入Prompt的父块 8288babf 含有可支撑回答的内容；模型回答与该证据语义一致。,否,0.625,1.0
1:5,25,单链表中，已知指向值为x的结点指针，在该结点之后插入新结点的时间复杂度是多少？,导师，已知指向值为x的结点指针时，在其后插入新结点的时间复杂度为O(1)。因为只需修改该结点和新结点的指针域即可完成插入，操作步骤固定，与链表长度无关。,"['8288babf', '9d8f95a2', '2ede359d', '1fbc2070', 'b70b3f9c']",8288babf,0,否,是,是,1,8288babf,问1：算法的时间复杂度是指什么？答：时间复杂度是指算法执行时间随问题规模增长的增长趋势，用大O记号表示，关注的是最高阶增长项，忽略常数系数和低阶项。问2：在顺序表中，访问第i个元素的时间复杂度是多少？答：O(1)。顺序表采用连续存储，可以通过下标直接计算出元素地址，实现随机访问。问3：在一个长度为n的单链表中，在值为x的结点之后插,原始CSV自动判定为0，但人工复核发现进入Prompt的父块 8288babf 含有可支撑回答的内容；模型回答与该证据语义一致。,否,0.6,1.0
1:5,26,单链表中删除值为x的结点，若不知道其前驱结点，时间复杂度是多少？,导师，若不知道值为x的结点的前驱结点，则删除操作的时间复杂度为O(n)。因为单链表无法直接访问前驱，必须先从头遍历链表，找到值为x的结点同时记录其前驱结点，才能完成删除。,"['8288babf', '9d8f95a2', 'a4ceb5f8', '07c52459', '1a6f6dcc']",8288babf,0,否,是,是,1,8288babf,问1：算法的时间复杂度是指什么？答：时间复杂度是指算法执行时间随问题规模增长的增长趋势，用大O记号表示，关注的是最高阶增长项，忽略常数系数和低阶项。问2：在顺序表中，访问第i个元素的时间复杂度是多少？答：O(1)。顺序表采用连续存储，可以通过下标直接计算出元素地址，实现随机访问。问3：在一个长度为n的单链表中，在值为x的结点之后插,原始CSV自动判定为0，但人工复核发现进入Prompt的父块 8288babf 含有可支撑回答的内容；模型回答与该证据语义一致。,否,0.5769,1.0
1:5,27,栈的上溢和下溢分别是什么意思？,"导师，栈的上溢和下溢是针对栈的两种异常状态：

- **上溢（Overflow）**：当栈已满（对于固定容量栈而言），还要继续执行入栈操作时发生。例如用数组实现栈，栈顶指针已指向最大下标，再 push 就会上溢。

- **下溢（Underflow）**：当栈为空，还要继续执行出栈或取栈顶操作时发生。例如空栈执行 pop 或 top 操作就会下溢。

简单记忆：上溢是“栈满再放”，下溢是“栈空再取”。","['4199444b', '27efd829', '8288babf', '97cfe7e8', '339d1dcd']",4199444b,0,否,是,是,1,339d1dcd,"if T == NULL:returnswap(T.left, T.right)SwapChildren(T.left)SwapChildren(T.right)时间复杂度O(n)，每个结点访问一次。递归栈空间复杂度与树高有关，最坏O(n)，平衡时O(log n)。问44：设计非递归算法实现二叉树的中序遍历，写出伪代码并分析空间复杂度。答：核心思想：使用栈辅...",原始CSV自动判定为0，但人工复核发现进入Prompt的父块 339d1dcd 含有可支撑回答的内容；模型回答与该证据语义一致。,否,0.5556,1.0
1:5,28,循环队列如何判断队空？数组大小为m时最多存放多少个元素？,"导师，循环队列判断队空的条件是：**队头指针front等于队尾指针rear时，队列为空**。front指向队头元素，rear指向队尾元素的下一个位置，两者相等表示队列中没有元素。

对于数组大小为m的循环队列，**最多能存放m-1个元素**。这是因为循环队列通常牺牲一个存储单元来区分队空和队满：若队满条件也为front==rear，则无法与队空区分，所以约定当(rear+1)%m == front时表示队满，因此队列中最多只存放m-1个元素。","['36813c45', '8288babf', '679e9079', '510f1b66', '110445fa']",36813c45,1,是,是,是,1,36813c45,下溢是指栈已空时继续执行出栈操作导致的错误。问6：在循环队列中，如何判断队空？答：front == rear时队空。在循环队列中，front指向队头元素，rear指向队尾元素的下一个位置，两者相等表示队列为空。问7：对于一个顺序存储的循环队列，数组大小为m，队列中最多能存放多少个元素？答：最多存放m-1个元素。循环队列通常牺牲一个存储单元来区分队空和队满，因...,原始CSV已判定为有效支撑；人工复核保留该判定。,否,0.5714,1.0
1:5,29,什么是递归？递归的两个基本要素是什么？,"导师，递归是一种通过函数直接或间接调用自身来解决问题的编程技术。它将复杂问题分解为规模更小的同类子问题，直到达到可直接求解的基准情况。

递归的两个基本要素包括：
1. **递归出口（终止条件）**：定义问题的最简单情况，当满足该条件时递归不再继续，直接返回结果。这是防止无限递归的关键。
2. **递归关系（递推公式）**：将原问题分解为规模更小的子问题，并明确如何从子问题的解构造出原问题的解。通常表现为函数调用自身，并逐步向终止条件逼近。","['36813c45', 'c0237783', '732f8c97', '339d1dcd', '52fea983']",36813c45,0,否,是,是,1,52fea983,栈的逻辑特征是后进先出（LIFO），适合处理“最近进入、最先退出”的问题，如函数递归调用、表达式求值、括号匹配、浏览器回退等。问：一棵具有n个结点的二叉树，其空指针域个数是多少？答：n+1。二叉链表中每个结点有两个指针域，共2n个指针；非空指针对应边数n-1，所以空指针数为2n-(n-1)=n+1。问：无向连通图有n个顶点，至少...,原始CSV自动判定为0，但人工复核发现进入Prompt的父块 52fea983 含有可支撑回答的内容；模型回答与该证据语义一致。,否,0.5517,1.0
