snr_ratio,round,question,original_answer,prompt_knowledge_parent_ids,top_parent_id,AutoCorrect,AutoSupport,ManualSupport,AnswerCorrect,FinalCorrect,EvidenceParentID,EvidenceQuote,CorrectionReason,NeedHumanReview,OriginalRollingAccuracy,CorrectedRollingAccuracy,EvidenceScore
1:200+,20,删除带头结点单链表中值最小的结点，核心思路是什么？,核心思路：遍历链表，用两个指针分别记录当前最小结点及其前驱，遍历结束后修改前驱的next指针跳过该结点并释放。,"['40bb258c', '5dbc9c23', 'b16872a5', '632e725a', '825eb10a']",40bb258c,0,否,是,是,1,b16872a5,H(46)=2，放2；H(30)=8，8冲突，9冲突，线性探测到10，放10；H(13)=2，2冲突，线性探测到3，放3。最终表：0:22，1:空，2:46，3:13，4:空，5:空，6:空，7:空，8:41，9:53，10:30。问：已知带头结点单链表L，设计一个算法删除链表中值最小的结点。要求写出伪代码，并分析时间复杂度。要求写出伪代码，并分析时间复杂度...,原始CSV自动判定为0，但人工复核发现进入Prompt的父块 b16872a5 含有可支撑回答的内容；模型回答与该证据语义一致。,否,0.5,0.85,34.4
1:200+,21,如何判断字符串中的小括号、方括号、花括号是否匹配？,"核心思路：利用栈的LIFO特性，依次扫描字符串中的每个字符。遇到左括号（'(','[','{'）时入栈；遇到右括号时，检查栈是否为空，若空则匹配失败，否则弹出栈顶元素并与当前右括号匹配，若左右括号类型不匹配则失败。扫描结束后，若栈为空则全部匹配，否则尚有未匹配的左括号。 伪代码： ``` function isBracketsMatch(s): stack = empty Stack for ch in s: if ch is '(' or '[' or '{': stack.push(ch) else if ch is ')' or ']' or '}': if stack.isEmpty(): return false top = stack.pop() if (ch == ')' and top != '(') or (ch == ']' and top != '[') or (ch == '}' and top != '{'): return false return stack.isEmpty() ``` 时间复杂度O(n)，空间复杂度O(n)（最坏情况全是左括号）。注意：非括号字符直接忽略。","['f6a498f4', '5dbc9c23', '6cfdc470', '63f852e1', '7003e0e3']",f6a498f4,1,是,是,是,1,f6a498f4,nextfree(minNode)时间复杂度O(n)，空间复杂度O(1)。问：输入一个只包含小括号、方括号、花括号以及其他字符的字符串，设计算法判断括号是否匹配。要求写出核心思路和伪代码...,原始CSV已判定为有效支撑；人工复核保留该判定。,否,0.5238,0.8571,48.0
1:200+,22,设二叉树采用二叉链表存储，如何递归求二叉树高度？,导师，递归求二叉树高度的方法如下： **递归公式**：左子树高度与右子树高度的最大值加1（当前结点本身）。 **终止条件**：空结点高度为0。 **算法描述**： ``` int GetHeight(BiTree T) { if (T == NULL) return 0; else { int leftHeight = GetHeight(T->lchild); int rightHeight = GetHeight(T->rchild); return (leftHeight > rightHeight ? leftHeight : rightHeight) + 1; } } ``` **核心思想**：二叉树的高度等于其左右子树中较高者的高度再加1。递归会先深入到最底层结点，然后逐层向上返回高度值。 需要我进一步解释递归的调用栈过程，或者给出非递归实现（层序遍历）吗？,"['c097f195', 'f1ee6e22', 'c9a03c35', 'b6b5e009', '0711fde2']",c097f195,1,是,是,是,1,c097f195,']') or(a=='{' and b=='}')时间复杂度O(n)，空间复杂度最坏O(n)。问：设二叉树采用二叉链表存储，设计...,原始CSV已判定为有效支撑；人工复核保留该判定。,否,0.5455,0.8636,46.0
1:200+,23,给定非递减有序数组，如何原地删除重复元素并返回去重后长度？,导师，核心思路是使用快慢指针（双指针）。慢指针 `slow` 指向已去重部分的最后一个元素，快指针 `fast` 遍历数组。当 `A[fast] != A[slow]` 时，将 `slow` 后移一位，并将 `A[fast]` 复制到 `A[slow]`。遍历结束后 `slow+1` 即为去重后的长度。时间复杂度 O(n)，空间复杂度 O(1)。,"['aa5c4214', 'c097f195', '632e725a', 'c4b6354c', 'b6b5e009']",aa5c4214,1,是,是,是,1,aa5c4214,0..n-1]，要求原地删除重复元素，返回去重后的长度。要求空间复杂度O(1)。答：核心思想：使用快慢指针。slow指向当前去重后最后一个元素位置，fast扫描数组；当A[fast]与A[slow]不同时，slow后移并复制A...,原始CSV已判定为有效支撑；人工复核保留该判定。,否,0.5652,0.8696,50.0
1:200+,24,什么是算法的时间复杂度？,导师，时间复杂度衡量的是算法执行时间随问题规模n的增长趋势，用大O记号表示，只保留最高阶项并忽略常数系数和低阶项。例如，T(n)=3n²+20n+5的时间复杂度为O(n²)。,"['aa5c4214', '40bb258c', 'f31b2d71', 'c4b6354c', '632e725a']",aa5c4214,0,否,是,是,1,632e725a,问1：算法的时间复杂度是指什么？答：时间复杂度是指算法执行时间随问题规模增长的增长趋势，用大O记号表示，关注的是最高阶增长项，忽略常数系数和低阶项。问2：在顺序表中，访问第i个元素的时间复杂度是多少？答：O(1)。顺序表采用连续存储，可以通过下标直接计算出元素地址，实现随机访问。问3：在一个长度为n的单链表中，在值为x的结点之后插入一个新结点，已知指向x的指...,原始CSV自动判定为0，但人工复核发现进入Prompt的父块 632e725a 含有可支撑回答的内容；模型回答与该证据语义一致。,否,0.5417,0.875,30.0
1:200+,25,单链表中，已知指向值为x的结点指针，在该结点之后插入新结点的时间复杂度是多少？,导师，该操作的时间复杂度为O(1)。因为已知指向x的结点指针，只需修改指针域（将新结点指向x的后继，再将x指向新结点），无需遍历链表，操作次数为常数级。,"['632e725a', 'aa5c4214', '40bb258c', 'eeb7168c', 'f9d94eba']",632e725a,0,否,是,是,1,eeb7168c,：O(1)。顺序表采用连续存储，可以通过下标直接计算出元素地址，实现随机访问。问3：在一个长度为n的单链表中，在值为x的结点之后插入一个新结点，已知指向x的指...,原始CSV自动判定为0，但人工复核发现进入Prompt的父块 eeb7168c 含有可支撑回答的内容；模型回答与该证据语义一致。,否,0.52,0.88,49.6
1:200+,26,单链表中删除值为x的结点，若不知道其前驱结点，时间复杂度是多少？,导师，若不知道值为x的结点的前驱，则需先从头遍历链表找到该结点及其前驱，因此时间复杂度为O(n)（最坏情况需遍历整个链表）。如果需要删除所有值为x的结点，也需完整扫描一次。,"['632e725a', 'aa5c4214', '5dbc9c23', '40bb258c', 'eeb7168c']",632e725a,0,否,是,是,1,eeb7168c,趋势，用大O记号表示，关注的是最高阶增长项，忽略常数系数和低阶项。问2：在顺序表中，访问第i个元素的时间复杂度是多少？答：O(1)。顺序表采用连续存储，可以通过下标直接计算出元素地址，实现随机访问。问3：在一个长度为n的单链表中，在值为x的结点之后插入一个新结点，已知指向x的指...,原始CSV自动判定为0，但人工复核发现进入Prompt的父块 eeb7168c 含有可支撑回答的内容；模型回答与该证据语义一致。,否,0.5,0.8846,34.6
1:200+,27,栈的上溢和下溢分别是什么意思？,导师，栈的“上溢”是指试图在栈已满的情况下执行入栈操作，导致数据无法写入的错误；“下溢”则是指试图在栈已空的情况下执行出栈或取栈顶操作，导致无法获取有效元素。顺序栈和链栈都需要考虑这两种情况，通常通过检查栈顶指针或栈容量来避免。,"['5805b3f8', '63f852e1', '632e725a', 'eeb7168c', 'f6a498f4']",5805b3f8,0,否,否,是,0,eeb7168c,问1：算法的时间复杂度是指什么？答：时间复杂度是指算法执行时间随问题规模增长的增长趋势，用大O记号表示，关注的是最高阶增长项，忽略常数系数和低阶项。问2：在顺序表中，访问第i个元素的时间复杂度是多少？答：O(1)。顺序表采用连续存储，可以通过下标直接计算出元素地址，实现随机访问。问3：在一个长度为n的单链表中，在值为x的结点之后插入一个新结点，已知指向x的指...,原始CSV自动规则无法证明有效支撑；人工复核在进入Prompt的知识库父块中未找到足够直接的支撑内容，保留AutoCorrect=0并标记待进一步复核。,是,0.4815,0.8519,8.8
1:200+,28,循环队列如何判断队空？数组大小为m时最多存放多少个元素？,导师，循环队列判断队空的条件是 `front == rear`。由于需要区分队空和队满，通常牺牲一个存储单元，因此数组大小为m时最多存放 **m-1** 个元素。,"['6cfdc470', '632e725a', '849645c1', '77a33777', 'b0f15d4b']",6cfdc470,1,是,是,是,1,6cfdc470,队头元素，rear指向队尾元素的下一个位置，两者相等表示队列为空。问7：对于一个顺序存储的循环队列，数组大小为m，队列中最多能存放多少个元素？答：最多存放m-1个元素。循环队列通常牺牲一个存储单元来区分队空和队满，因...,原始CSV已判定为有效支撑；人工复核保留该判定。,否,0.5,0.8571,37.4
1:200+,29,什么是递归？递归的两个基本要素是什么？,递归是指在函数的定义中使用函数自身的方法。递归的两个基本要素是：**递归边界**（终止条件），用于停止递归调用并返回结果；**递归表达式**（递推关系），将原问题分解为一个或多个规模更小的同类子问题，并逐步向边界逼近。,"['6cfdc470', '80032979', 'bf188a88', '77a33777', '48b948f1']",6cfdc470,0,否,否,是,0,80032979,问：栈适合解决哪一类问题？答：栈的逻辑特征是后进先出（LIFO），适合处理“最近进入、最先退出”的问题，如函数递归调用、表达式求值、括号匹配、浏览器回退等。问：一棵具有n个结点的二叉树，其空指针域个数是多少？答：n+1。二叉链表中每个结点有两个指针域，共2n个指针；非空指针对应边数n-1，所以空指针数为2n-(n-1)=n+1。问：无向连通图有n个顶点，至少...,原始CSV自动规则无法证明有效支撑；人工复核在进入Prompt的知识库父块中未找到足够直接的支撑内容，保留AutoCorrect=0并标记待进一步复核。,是,0.4828,0.8276,15.8
1:200+,30,解释KMP算法相比朴素匹配算法的优势。,导师，KMP算法的核心优势在于利用已部分匹配的信息，避免主串指针回溯，从而使最坏时间复杂度降至O(m+n)，而朴素匹配算法在最坏情况下需O(m×n)，因此KMP在处理长字符串或重复模式时效率显著更高。,"['6cfdc470', '8267d48e', 'ea9da252', '77a33777', 'bf188a88']",6cfdc470,0,否,是,是,1,8267d48e,串长度，n为主串长度。最坏情况下每次匹配都需要比较到模式串的最后一个字符才发现不匹配。问10：KMP算法相比朴素匹配算法的优势是什么？答：KMP算法利用已经部分匹配的信息，避免主串指针回溯，最坏时间复杂度为O(m+n)，比朴素算法的O(m×n)更高效。问11：数组通常采用什么存储方式？答：数组通常采用顺序存储，元素在内存中连续存...,原始CSV自动判定为0，但人工复核发现进入Prompt的父块 8267d48e 含有可支撑回答的内容；模型回答与该证据语义一致。,否,0.4667,0.8333,53.6
